,date,precipitation,snow,snow_depth,max_temp,min_temp,avg_daily_wind_speed,avg_relative_humidity,avg_daily_temp,year,month,day,dayof,precip_z,snow_z,maxt_z,mint_z,ws_z,dt_z,score1,score2,score3
81,1975-02-20,0.0,0.0,0.0,50.0,29.0,,,,1975,2,20,2-20,-0.38441954879664436,-0.146424826495752,-0.026954738186896664,-0.19713530872716886,,,3.34,4.0,8.0
82,1975-02-21,0.0,0.0,0.0,68.0,31.0,,,,1975,2,21,2-21,-0.38441954879664436,-0.146424826495752,1.414547040532247,-0.024968564985376408,,,5.01,6.0,8.0
83,1975-02-22,0.0,0.0,0.0,66.0,48.0,,,,1975,2,22,2-22,-0.38441954879664436,-0.146424826495752,1.2543801762301199,1.4384487568198594,,,6.68,8.0,8.0
84,1975-02-23,1.33,0.0,0.0,70.0,45.0,,,,1975,2,23,2-23,3.2743444430602198,-0.146424826495752,1.5747139048343741,1.1801986412071708,,,5.01,6.0,6.0
85,1975-02-24,0.0,0.0,0.0,45.0,36.0,,,,1975,2,24,2-24,-0.38441954879664436,-0.146424826495752,-0.42737189894221433,0.4054482943691047,,,5.01,6.0,8.0
86,1975-02-25,0.0,0.0,0.0,57.0,35.0,,,,1975,2,25,2-25,-0.38441954879664436,-0.146424826495752,0.5336292868705481,0.31936492249820847,,,6.68,8.0,8.0
87,1975-02-26,0.0,0.0,0.0,52.0,27.0,,,,1975,2,26,2-26,-0.38441954879664436,-0.146424826495752,0.1332121261152304,-0.3693020524689613,,,5.01,6.0,8.0
88,1975-02-27,0.0,0.0,0.0,53.0,34.0,,,,1975,2,27,2-27,-0.38441954879664436,-0.146424826495752,0.21329555826629396,0.23328155062731226,,,6.68,8.0,8.0
89,1975-02-28,0.0,0.0,0.0,64.0,33.0,,,,1975,2,28,2-28,-0.38441954879664436,-0.146424826495752,1.0942133119279929,0.14719817875641603,,,6.68,8.0,8.0
90,1975-12-01,0.0,0.0,0.0,43.0,28.0,,,,1975,12,1,12-1,-0.38441954879664436,-0.146424826495752,-0.5875387632443414,-0.2832186805980651,,,3.34,4.0,8.0
91,1975-12-02,0.0,0.0,0.0,55.0,24.0,,,,1975,12,2,12-2,-0.38441954879664436,-0.146424826495752,0.373462422568421,-0.6275521680816499,,,5.01,6.0,8.0
92,1975-12-03,0.0,0.0,0.0,58.0,34.0,,,,1975,12,3,12-3,-0.38441954879664436,-0.146424826495752,0.6137127190216116,0.23328155062731226,,,6.68,8.0,8.0
93,1975-12-04,0.0,0.0,0.0,69.0,34.0,,,,1975,12,4,12-4,-0.38441954879664436,-0.146424826495752,1.4946304726833106,0.23328155062731226,,,6.68,8.0,8.0
94,1975-12-05,0.0,0.0,0.0,71.0,41.0,,,,1975,12,5,12-5,-0.38441954879664436,-0.146424826495752,1.6547973369854376,0.8358651537235858,,,6.68,8.0,8.0
95,1975-12-06,0.0,0.0,0.0,65.0,49.0,,,,1975,12,6,12-6,-0.38441954879664436,-0.146424826495752,1.1742967440790564,1.5245321286907556,,,6.68,8.0,8.0
96,1975-12-07,0.0,0.0,0.0,49.0,41.0,,,,1975,12,7,12-7,-0.38441954879664436,-0.146424826495752,-0.1070381703379602,0.8358651537235858,,,5.01,6.0,8.0
97,1975-12-08,0.0,0.0,0.0,46.0,40.0,,,,1975,12,8,12-8,-0.38441954879664436,-0.146424826495752,-0.34728846679115083,0.7497817818526896,,,5.01,6.0,8.0
98,1975-12-09,0.0,0.0,0.0,43.0,36.0,,,,1975,12,9,12-9,-0.38441954879664436,-0.146424826495752,-0.5875387632443414,0.4054482943691047,,,5.01,6.0,8.0
99,1975-12-10,0.0,0.0,0.0,45.0,31.0,,,,1975,12,10,12-10,-0.38441954879664436,-0.146424826495752,-0.42737189894221433,-0.024968564985376408,,,3.34,4.0,8.0
100,1975-12-11,0.0,0.0,0.0,60.0,28.0,,,,1975,12,11,12-11,-0.38441954879664436,-0.146424826495752,0.7738795833237387,-0.2832186805980651,,,5.01,6.0,8.0
101,1975-12-12,0.0,0.0,0.0,68.0,47.0,,,,1975,12,12,12-12,-0.38441954879664436,-0.146424826495752,1.414547040532247,1.3523653849489632,,,6.68,8.0,8.0
102,1975-12-13,0.0,0.0,0.0,70.0,48.0,,,,1975,12,13,12-13,-0.38441954879664436,-0.146424826495752,1.5747139048343741,1.4384487568198594,,,6.68,8.0,8.0
103,1975-12-14,0.0,0.0,0.0,71.0,57.0,,,,1975,12,14,12-14,-0.38441954879664436,-0.146424826495752,1.6547973369854376,2.2131991036579253,,,6.68,8.0,8.0
104,1975-12-15,0.67,0.0,0.0,68.0,39.0,,,,1975,12,15,12-15,1.4587171989808734,-0.146424826495752,1.414547040532247,0.6636984099817934,,,5.01,6.0,6.0
105,1975-12-16,0.0,0.0,0.0,41.0,33.0,,,,1975,12,16,12-16,-0.38441954879664436,-0.146424826495752,-0.7477056275464685,0.14719817875641603,,,5.01,6.0,6.0
106,1975-12-17,0.0,0.0,0.0,37.0,24.0,,,,1975,12,17,12-17,-0.38441954879664436,-0.146424826495752,-1.0680393561507227,-0.6275521680816499,,,3.34,4.0,6.0
107,1975-12-18,0.0,0.0,0.0,26.0,14.0,,,,1975,12,18,12-18,-0.38441954879664436,-0.146424826495752,-1.9489571098124217,-1.4883858867906121,,,3.34,4.0,4.0
108,1975-12-19,0.0,0.0,0.0,39.0,11.0,,,,1975,12,19,12-19,-0.38441954879664436,-0.146424826495752,-0.9078724918485955,-1.746636002403301,,,3.34,4.0,4.0
109,1975-12-20,0.0,0.0,0.0,50.0,32.0,,,,1975,12,20,12-20,-0.38441954879664436,-0.146424826495752,-0.026954738186896664,0.06111480688551981,,,5.01,6.0,8.0
110,1975-12-21,0.0,0.0,0.0,37.0,25.0,,,,1975,12,21,12-21,-0.38441954879664436,-0.146424826495752,-1.0680393561507227,-0.5414687962107537,,,3.34,4.0,6.0
111,1975-12-22,0.0,0.0,0.0,39.0,17.0,,,,1975,12,22,12-22,-0.38441954879664436,-0.146424826495752,-0.9078724918485955,-1.2301357711779235,,,3.34,4.0,4.0
112,1975-12-23,0.0,0.0,0.0,43.0,18.0,,,,1975,12,23,12-23,-0.38441954879664436,-0.146424826495752,-0.5875387632443414,-1.1440523993070273,,,3.34,4.0,6.0
113,1975-12-24,0.0,0.0,0.0,45.0,25.0,,,,1975,12,24,12-24,-0.38441954879664436,-0.146424826495752,-0.42737189894221433,-0.5414687962107537,,,3.34,4.0,8.0
114,1975-12-25,1.69,0.0,0.0,52.0,39.0,,,,1975,12,25,12-25,4.264686576194408,-0.146424826495752,0.1332121261152304,0.6636984099817934,,,5.01,6.0,6.0
115,1975-12-26,0.02,0.0,0.0,51.0,38.0,,,,1975,12,26,12-26,-0.3294005414003005,-0.146424826495752,0.05312869396416687,0.5776150381108971,,,6.68,8.0,8.0
116,1975-12-27,0.0,0.0,0.0,39.0,35.0,,,,1975,12,27,12-27,-0.38441954879664436,-0.146424826495752,-0.9078724918485955,0.31936492249820847,,,5.01,6.0,6.0
117,1975-12-28,0.0,0.0,0.0,57.0,36.0,,,,1975,12,28,12-28,-0.38441954879664436,-0.146424826495752,0.5336292868705481,0.4054482943691047,,,6.68,8.0,8.0
118,1975-12-29,0.11,0.0,0.0,54.0,39.0,,,,1975,12,29,12-29,-0.08181500811675337,-0.146424826495752,0.2933789904173575,0.6636984099817934,,,6.68,8.0,8.0
119,1975-12-30,0.37,0.0,0.0,53.0,46.0,,,,1975,12,30,12-30,0.6334320880357162,-0.146424826495752,0.21329555826629396,1.266282013078067,,,5.01,6.0,8.0
120,1975-12-31,1.26,0.0,0.0,54.0,44.0,,,,1975,12,31,12-31,3.081777917173016,-0.146424826495752,0.2933789904173575,1.0941152693362746,,,5.01,6.0,6.0
121,1976-01-01,0.0,0.0,0.0,44.0,42.0,,,,1976,1,1,1-1,-0.38441954879664436,-0.146424826495752,-0.5074553310932779,0.921948525594482,,,5.01,6.0,8.0
122,1976-01-02,0.64,0.0,0.0,51.0,41.0,,,,1976,1,2,1-2,1.3761886878863576,-0.146424826495752,0.05312869396416687,0.8358651537235858,,,5.01,6.0,6.0
123,1976-01-03,0.42,0.0,0.0,46.0,28.0,,,,1976,1,3,1-3,0.7709796065265757,-0.146424826495752,-0.34728846679115083,-0.2832186805980651,,,1.67,2.0,6.0
124,1976-01-04,0.0,0.0,0.0,30.0,17.0,,,,1976,1,4,1-4,-0.38441954879664436,-0.146424826495752,-1.6286233812081674,-1.2301357711779235,,,3.34,4.0,4.0
125,1976-01-05,0.0,0.0,0.0,32.0,16.0,,,,1976,1,5,1-5,-0.38441954879664436,-0.146424826495752,-1.4684565169060404,-1.3162191430488197,,,3.34,4.0,4.0
126,1976-01-06,0.0,0.0,0.0,50.0,21.0,,,,1976,1,6,1-6,-0.38441954879664436,-0.146424826495752,-0.026954738186896664,-0.8858022836943387,,,3.34,4.0,6.0
127,1976-01-07,0.51,0.39,0.0,45.0,27.0,,,,1976,1,7,1-7,1.018565139810123,0.7254071191063236,-0.42737189894221433,-0.3693020524689613,,,0.0,0.0,4.0
128,1976-01-08,0.01,0.12,0.0,27.0,9.0,,,,1976,1,8,1-8,-0.3569100450984724,0.12183115676642507,-1.868873677661358,-1.9188027461450934,,,1.67,2.0,4.0
129,1976-01-09,0.0,0.0,0.0,27.0,4.0,,,,1976,1,9,1-9,-0.38441954879664436,-0.146424826495752,-1.868873677661358,-2.349219605499574,,,3.34,4.0,4.0
130,1976-01-10,0.0,0.0,0.0,46.0,18.0,,,,1976,1,10,1-10,-0.38441954879664436,-0.146424826495752,-0.34728846679115083,-1.1440523993070273,,,3.34,4.0,6.0
131,1976-01-11,0.24,0.0,0.0,50.0,28.0,,,,1976,1,11,1-11,0.2758085399594814,-0.146424826495752,-0.026954738186896664,-0.2832186805980651,,,1.67,2.0,8.0
132,1976-01-12,0.0,0.0,0.0,50.0,26.0,,,,1976,1,12,1-12,-0.38441954879664436,-0.146424826495752,-0.026954738186896664,-0.4553854243398575,,,3.34,4.0,8.0
133,1976-01-13,0.45,0.0,0.0,63.0,41.0,,,,1976,1,13,1-13,0.8535081176210915,-0.146424826495752,1.0141298797769294,0.8358651537235858,,,5.01,6.0,6.0
134,1976-01-14,0.0,0.0,0.0,47.0,26.0,,,,1976,1,14,1-14,-0.38441954879664436,-0.146424826495752,-0.26720503464008727,-0.4553854243398575,,,3.34,4.0,8.0
135,1976-01-15,0.0,0.0,0.0,49.0,23.0,,,,1976,1,15,1-15,-0.38441954879664436,-0.146424826495752,-0.1070381703379602,-0.7136355399525461,,,3.34,4.0,6.0
136,1976-01-16,0.0,0.0,0.0,50.0,28.0,,,,1976,1,16,1-16,-0.38441954879664436,-0.146424826495752,-0.026954738186896664,-0.2832186805980651,,,3.34,4.0,8.0
137,1976-01-17,0.0,0.0,0.0,31.0,19.0,,,,1976,1,17,1-17,-0.38441954879664436,-0.146424826495752,-1.548539949057104,-1.057969027436131,,,3.34,4.0,4.0
138,1976-01-18,0.0,0.0,0.0,32.0,15.0,,,,1976,1,18,1-18,-0.38441954879664436,-0.146424826495752,-1.4684565169060404,-1.402302514919716,,,3.34,4.0,4.0
139,1976-01-19,0.0,0.0,0.0,44.0,22.0,,,,1976,1,19,1-19,-0.38441954879664436,-0.146424826495752,-0.5074553310932779,-0.7997189118234425,,,3.34,4.0,6.0
140,1976-01-20,0.06,0.59,0.98,43.0,27.0,,,,1976,1,20,1-20,-0.2193625266076129,1.172500424543285,-0.5875387632443414,-0.3693020524689613,,,1.67,2.0,6.0
141,1976-01-21,0.0,0.0,0.0,49.0,24.0,,,,1976,1,21,1-21,-0.38441954879664436,-0.146424826495752,-0.1070381703379602,-0.6275521680816499,,,3.34,4.0,8.0
142,1976-01-22,0.0,0.0,0.0,49.0,22.0,,,,1976,1,22,1-22,-0.38441954879664436,-0.146424826495752,-0.1070381703379602,-0.7997189118234425,,,3.34,4.0,6.0
